#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
 254  0.825800  3.6659  1.4073  2.5646  1.0307 -0.7320 -1.5136 -1.8288 -1.9145
 255  0.825821  3.6637  1.3616  2.6013  0.9964 -0.8008 -1.5971 -1.9183 -2.0079
 256  0.825840  3.6615  1.3170  2.6371  0.9650 -0.8670 -1.6781 -2.0053 -2.0988
 257  0.825857  3.6593  1.2736  2.6719  0.9365 -0.9308 -1.7566 -2.0897 -2.1871
 258  0.825873  3.6572  1.2310  2.7060  0.9103 -0.9926 -1.8333 -2.1725 -2.2737
 259  0.825888  3.6551  1.1893  2.7395  0.8870 -1.0522 -1.9078 -2.2531 -2.3583
 260  0.825902  3.6531  1.1480  2.7726  0.8660 -1.1103 -1.9812 -2.3327 -2.4418
 261  0.825914  3.6510  1.1080  2.8044  0.8485 -1.1651 -2.0512 -2.4089 -2.5219
 262  0.825926  3.6490  1.0684  2.8360  0.8337 -1.2184 -2.1202 -2.4842 -2.6012
 263  0.825938  3.6470  1.0296  2.8667  0.8219 -1.2693 -2.1869 -2.5572 -2.6783
 264  0.825948  3.6450  0.9913  2.8970  0.8135 -1.3180 -2.2520 -2.6289 -2.7541
 265  0.825958  3.6429  0.9534  2.9265  0.8093 -1.3638 -2.3148 -2.6985 -2.8278
 266  0.825967  3.6408  0.9160  2.9556  0.8082 -1.4077 -2.3760 -2.7665 -2.9002
 267  0.825975  3.6387  0.8794  2.9838  0.8100 -1.4491 -2.4349 -2.8324 -2.9705
 268  0.825983  3.6366  0.8431  3.0117  0.8145 -1.4890 -2.4927 -2.8973 -3.0398
 269  0.825990  3.6345  0.8076  3.0389  0.8218 -1.5266 -2.5483 -2.9601 -3.1071
 270  0.825997  3.6325  0.7726  3.0655  0.8311 -1.5625 -2.6024 -3.0215 -3.1731
 271  0.826004  3.6304  0.7381  3.0919  0.8420 -1.5973 -2.6553 -3.0817 -3.2379
 272  0.826010  3.6284  0.7045  3.1174  0.8544 -1.6302 -2.7060 -3.1398 -3.3005
 273  0.826016  3.6264  0.6714  3.1425  0.8682 -1.6618 -2.7555 -3.1967 -3.3619
 274  0.826022  3.6244  0.6389  3.1671  0.8840 -1.6916 -2.8033 -3.2519 -3.4217
 275  0.826027  3.6225  0.6073  3.1912  0.9009 -1.7200 -2.8496 -3.3056 -3.4800
 276  0.826032  3.6207  0.5766  3.2145  0.9197 -1.7463 -2.8939 -3.3573 -3.5363
 277  0.826036  3.6189  0.5464  3.2373  0.9398 -1.7712 -2.9370 -3.4078 -3.5914
 278  0.826041  3.6172  0.5177  3.2592  0.9597 -1.7945 -2.9781 -3.4561 -3.6442
 279  0.826045  3.6157  0.4923  3.2788  0.9772 -1.8153 -3.0148 -3.4993 -3.6913
