#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
 235  1.074669  3.6110  1.8859  1.9809  4.9341  1.5225  0.3046 -0.2566 -0.4940
 236  1.074741  3.6072  1.8188  2.0325  4.8900  1.4557  0.2275 -0.3645 -0.6214
 237  1.074805  3.6033  1.7525  2.0832  4.8465  1.3944  0.1580 -0.4684 -0.7460
 238  1.074862  3.5994  1.6878  2.1326  4.8034  1.3373  0.0964 -0.5681 -0.8676
 239  1.074913  3.5956  1.6243  2.1808  4.7607  1.2854  0.0423 -0.6639 -0.9863
 240  1.074958  3.5918  1.5622  2.2278  4.7187  1.2400 -0.0037 -0.7549 -1.1013
 241  1.074999  3.5881  1.5013  2.2738  4.6774  1.2015 -0.0412 -0.8410 -1.2126
 242  1.075036  3.5843  1.4410  2.3190  4.6373  1.1708 -0.0694 -0.9225 -1.3209
 243  1.075069  3.5806  1.3826  2.3627  4.5987  1.1481 -0.0878 -0.9978 -1.4239
 244  1.075099  3.5770  1.3251  2.4056  4.5623  1.1333 -0.0919 -1.0694 -1.5255
 245  1.075126  3.5734  1.2686  2.4476  4.5276  1.1259 -0.0852 -1.1362 -1.6238
 246  1.075151  3.5698  1.2134  2.4886  4.4940  1.1261 -0.0698 -1.1973 -1.7175
 247  1.075173  3.5663  1.1592  2.5287  4.4616  1.1345 -0.0456 -1.2524 -1.8065
 248  1.075194  3.5628  1.1060  2.5679  4.4298  1.1510 -0.0130 -1.3015 -1.8907
 249  1.075213  3.5594  1.0544  2.6059  4.3996  1.1772  0.0289 -1.3434 -1.9686
 250  1.075230  3.5560  1.0036  2.6430  4.3703  1.2160  0.0831 -1.3768 -2.0400
 251  1.075246  3.5525  0.9534  2.6795  4.3423  1.2898  0.1736 -1.3901 -2.0983
 252  1.075261  3.5491  0.9044  2.7148  4.3155  1.3723  0.2734 -1.3981 -2.1514
 253  1.075274  3.5457  0.8563  2.7495  4.2889  1.4600  0.3781 -1.4028 -2.2006
 254  1.075287  3.5424  0.8091  2.7833  4.2631  1.5519  0.4858 -1.4041 -2.2458
 255  1.075299  3.5391  0.7628  2.8163  4.2384  1.6469  0.5945 -1.4020 -2.2868
 256  1.075309  3.5358  0.7175  2.8485  4.2147  1.7425  0.7003 -1.3968 -2.3237
 257  1.075319  3.5325  0.6732  2.8799  4.1924  1.8387  0.8022 -1.3879 -2.3562
 258  1.075329  3.5293  0.6298  2.9105  4.1715  1.9322  0.8804 -1.3665 -2.3764
 259  1.075337  3.5262  0.5874  2.9403  4.1542  2.0264  0.9468 -1.3346 -2.3879
 260  1.075345  3.5230  0.5456  2.9695  4.1386  2.1222  1.0086 -1.2953 -2.3939
 261  1.075353  3.5199  0.5046  2.9980  4.1246  2.2177  1.0650 -1.2508 -2.3955
 262  1.075360  3.5169  0.4646  3.0258  3.9377  2.2175  1.0481 -1.2392 -2.4112
 263  1.075367  3.5139  0.4253  3.0530  3.9288  2.3105  1.0995 -1.1895 -2.4080
 264  1.075373  3.5109  0.3869  3.0796  3.9460  2.4102  1.1491 -1.1366 -2.4017
 265  1.075379  3.5080  0.3493  3.1054  3.9921  2.5174  1.1988 -1.0822 -2.3933
 266  1.075385  3.5051  0.3123  3.1308  4.0712  2.6336  1.2507 -1.0285 -2.3842
 267  1.075390  3.5021  0.2757  3.1555  4.2172  2.7617  1.3160 -1.0092 -2.3887
 268  1.075395  3.4991  0.2398  3.1797  4.3558  2.8774  1.3708 -1.0012 -2.3973
 269  1.075400  3.4963  0.2049  3.2033  4.4727  2.9726  1.4100 -1.0065 -2.4118
 270  1.075404  3.4935  0.1706  3.2264  4.5653  3.0484  1.4345 -1.0238 -2.4313
 271  1.075408  3.4908  0.1371  3.2488  4.6244  3.1002  1.4413 -1.0538 -2.4564
 272  1.075412  3.4880  0.1040  3.2709  4.6432  3.1252  1.4283 -1.0974 -2.4878
 273  1.075416  3.4853  0.0716  3.2924  4.6130  3.1186  1.3925 -1.1550 -2.5259
 274  1.075420  3.4826  0.0399  3.3133  4.5265  3.0769  1.3315 -1.2271 -2.5715
 275  1.075423  3.4798  0.0085  3.3338  4.3745  2.9954  1.2418 -1.3149 -2.6252
 276  1.075427  3.4772 -0.0220  3.3538  4.1513  2.8712  1.1220 -1.4173 -2.6873
 277  1.075430  3.4746 -0.0519  3.3731  4.1828  2.8764  1.0882 -1.3498 -2.6842
 278  1.075433  3.4720 -0.0804  3.3915  4.2079  2.8762  1.0519 -1.2728 -2.6779
 279  1.075546  3.4699 -0.1047  3.4071  4.2192  2.8689  1.0162 -1.2024 -2.6717
